Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Diallo Amad,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Diallo Amad,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Diallo Amad,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Diallo Amad,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Diallo Amad,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Kouassi Eboue,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Kouassi Eboue,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Kouassi Eboue,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Kouassi Eboue,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Kouassi Eboue,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Kouame Christian,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Kouame Christian,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Kouame Christian,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Kouame Christian,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Kouame Christian,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Doumbia Aboubacar,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Doumbia Aboubacar,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Doumbia Aboubacar,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Doumbia Aboubacar,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Doumbia Aboubacar,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Gnaka Silas,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Gnaka Silas,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Gnaka Silas,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Gnaka Silas,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Gnaka Silas,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Dabila Kouadio-yves,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Dabila Kouadio-yves,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Dabila Kouadio-yves,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Dabila Kouadio-yves,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Dabila Kouadio-yves,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Keita Kader,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Keita Kader,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Keita Kader,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Keita Kader,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Keita Kader,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Doumbia Idrissa,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Doumbia Idrissa,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Doumbia Idrissa,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Doumbia Idrissa,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Doumbia Idrissa,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Guiagon Parfait,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Guiagon Parfait,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Guiagon Parfait,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Guiagon Parfait,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Guiagon Parfait,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Ira Eliezer,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Ira Eliezer,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Ira Eliezer,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Ira Eliezer,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Ira Eliezer,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Gradel Max,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Gradel Max,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Gradel Max,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Gradel Max,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Gradel Max,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Kessie Franck,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Kessie Franck,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Kessie Franck,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Kessie Franck,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Kessie Franck,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Kouao Koffi,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Kouao Koffi,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Kouao Koffi,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Kouao Koffi,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Kouao Koffi,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Bailly Eric,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Bailly Eric,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Bailly Eric,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Bailly Eric,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Bailly Eric,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
